young guys with shaggy hair look at their hands while hanging out in the yard .,7
young , White males are outside near many bushes .,5
men in green shirts are standing in a yard .,5
man in a blue shirt standing in a garden .,5
friends enjoy time spent together .,4
men in hard hats are operating a giant pulley system .,3
look down from up above on a piece of equipment .,3
men working on a machine wearing hard hats .,5
men on top of a tall structure .,5
men on a large rig .,5
child in a pink dress is climbing up a set of stairs in an entry way .,7
little girl in a pink dress going into a wooden cabin .,9
little girl climbing the stairs to her playhouse .,5
little girl climbing into a wooden playhouse .,5
girl going into a wooden building .,5
in a blue shirt and hat is standing on stair and leaning against a window .,0
man in a blue shirt is standing on a ladder cleaning a window .,0
man on a ladder cleans the window of a tall building .,0
in blue shirt and jeans on ladder cleaning windows,4
man on a ladder cleans a window,0
men , one in a gray shirt , one in a black shirt , standing near a stove .,0
guy cooking and joking around with the camera .,3
men in a kitchen cooking food on a stove .,0
men are at the stove preparing food .,0
men are cooking a meal .,5
people in the photo are playing the guitar and the other is poking at him .,1
man in green holds a guitar while the other man observes his shirt .,3
man is fixing the guitar players costume .,5
guy stitching up another man 's coat .,0
two boys playing guitar,3
man sits in a chair while holding a large stuffed animal of a lion .,3
man is sitting on a chair holding a large stuffed animal .,5
man completes the finishing touches on a stuffed lion .,5
man holds a large stuffed lion toy .,3
man is smiling at a stuffed lion,5
girl is on rollerskates talking on her cellphone standing in a parking lot .,1
trendy girl talking on her cellphone while gliding slowly down the street .,0
young adult wearing rollerblades , holding a cellular phone to her ear .,2
is a young girl on her cellphone while skating .,6
talking on cellphone and wearing rollerskates .,5
asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,9
people are standing outside near large pipes and a metal railing .,1
young woman walks past two young people dressed in hip black outfits .,6
woman with a large purse is walking by a gate .,3
people standing outside a building .,5
men in Germany jumping over a rail at the same time without shirts .,0
youths are jumping over a roadside railing , at night .,0
dancing on poles in the middle of the night .,8
men with no shirts jumping over a rail .,5
guys jumping over a gate together,4
ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .,0
dancers in a studio practice jumping with wonderful form .,3
girls are leaping simultaneously in a dance practice room .,3
girls dancing and bending feet in ballet class .,5
ballet class of five girls jumping in sequence .,5
young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,3
casually dressed guys jumping down a stairway outdoors with a stone wall behind them .,0
guys three wearing hats one not are jumping at the top of a staircase .,8
men with excited faces are jumping down from the top of stairs .,8
people are jumping from the top of a flight of stairs .,0
black dog and a white dog with brown spots are staring at each other in the street .,7
black dog and a tri-colored dog playing with each other on the road .,5
dogs of different breeds looking at each other on the road .,7
dogs on pavement moving toward each other .,5
black dog and a spotted dog are fighting,5
man with reflective safety clothes and ear protection drives a John Deere tractor on a road .,7
Deere tractors cruises down a street , while the driver wears easy to see clothing .,7
man in a neon green and orange uniform is driving on a green tractor .,3
man in a tractor wearing headphones driving down a paved street .,1
man driving a John Deere tractor on a main road in the country .,7
women are standing in front of a bus with buildings behind it .,1
women stand on a city street with tall buildings .,3
group of women are standing in front of a bus .,1
women wait outside in a city .,1
are standing outside,5
young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,3
lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .,8
woman wearing glasses sprinkles powdered sugar onto her bundt cake .,1
in black jacket sifting powdered sugar over a chocolate cake .,6
standing woman holds a pan over a cake .,3
small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,7
little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,0
is a girl with pigtails sitting in front of a rainbow painting .,7
little girl is sitting in front of a large painted rainbow .,7
girl with pigtails painting outside in the grass .,5
man sleeping on a bench outside with a white and black dog sitting next to him .,0
man lays on the bench to which a white dog is also tied .,0
laying on bench holding leash of dog sitting on ground,0
shirtless man lies on a park bench with his dog .,0
man lays on a bench while his dog sits by him .,0
group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .,0
musicians , a man and four women , practicing sheet music (using flutes ) in a living room .,0
gathered in a circle , some holding musical instruments .,3
gathered in a room to talk about their favorite tunes .,3
people are sitting in a circle with instruments .,5
women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .,1
least four instrumentalists play clarinets and other instruments in a curtained room .,1
women in a living room , three of which are clearly playing a musical instrument .,0
bunch of elderly women play their clarinets together as they read off sheet music .,0
group of four women , are performing music on their instruments .,5
person in gray stands alone on a structure outdoors in the dark .,3
large structure has broken and is laying in a roadway .,5
man in a gray coat is standing on a washed out bridge .,7
man stands on wooden supports and surveys damage .,3
man in a jacket and jeans standing on a bridge .,5
man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,4
large crowd of people stand outside in front of the entrance to a Metro station .,8
group of people are walking through a city street .,3
crowd is portrayed near a metro station .,5
standing outside a metro area .,5
man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .,0
